ObjectID	URLs	AdditionalField	OBJECTID	Comment	Conductivity	SampleNo	WaterLevel	Temp	BoreholeDepth	GeoComment	Site_Type	ESRIGNSS_POSITIONSOURCETYPE	ESRIGNSS_RECEIVER	ESRIGNSS_LATITUDE	ESRIGNSS_LONGITUDE	ESRIGNSS_ALTITUDE	ESRIGNSS_H_RMS	ESRIGNSS_V_RMS	ESRIGNSS_FIXDATETIME	ESRIGNSS_FIXTYPE	ESRIGNSS_CORRECTIONAGE	ESRIGNSS_STATIONID	ESRIGNSS_NUMSATS	ESRIGNSS_PDOP	ESRIGNSS_HDOP	ESRIGNSS_VDOP	ESRIGNSS_DIRECTION	ESRIGNSS_SPEED	ESRISNSR_AZIMUTH	ESRIGNSS_AVG_H_RMS	ESRIGNSS_AVG_V_RMS	ESRIGNSS_AVG_POSITIONS	ESRIGNSS_H_STDDEV	GlobalID	CreationDate	Creator	EditDate	Editor	Region_	Location_
4	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/4/attachments/2?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYdLCJ02S20GPZuOsxRjYjcS5UmNShZFgZ3j0Yk4qJmbo_db3uiju6IAqC4p3B9A_gPv93RsucyMzpiHf13QVXsaDgNwNQv7ysTsiBHIv5oUvmoDYRFrYVyu8z2u4Oj7lsmOO5JdHjDN9I-II-GBmnt-fO_GI3CrnHWjaf5v75mJq6Ygbgk6kFtqO5GRGyP-O9skM1JItZetMgW5R8WPkLTnGXD4aUpsXrq633KZeaLGH	Other	4	Project by ministry of agriculture. Technical issues. Water does not stay in dam. Big flood damaged the dam as not constructed very well.							Other					570.1999999999999																								
5	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/5/attachments/4?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYdLCJ02S20GPZuOsxRjYjcS5UmNShZFgZ3j0Yk4qJmbo_db3uiju6IAqC4p3B9A_gPv93RsucyMzpiHf13QVXsaDgNwNQv7ysTsiBHIv5oUvmoDYRFrYVyu8z2u4Oj7lsmOO5JdHjDN9I-II-GBmnt-fO_GI3CrnHWjaf5v75mJq6Ygbgk6kFtqO5GRGyP-O9skM1JItZetMgW5R8WPkLTnGXD4aUpsXrq633KZeaLGH		5	Water ponding in the wadi floor downstream of the dam.												563.4																								
6	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/6/attachments/9?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYdLCJ02S20GPZuOsxRjYjcS5UmNShZFgZ3j0Yk4qJmbo_db3uiju6IAqC4p3B9A_gPv93RsucyMzpiHf13QVXsaDgNwNQv7ysTsiBHIv5oUvmoDYRFrYVyu8z2u4Oj7lsmOO5JdHjDN9I-II-GBmnt-fO_GI3CrnHWjaf5v75mJq6Ygbgk6kFtqO5GRGyP-O9skM1JItZetMgW5R8WPkLTnGXD4aUpsXrq633KZeaLGH		6	Channel eroded through very friable orange rhyolite. Dyke running through the dam aligment, possibly the design assumed the dyke would prevent erosion around the sides of the structure. Project started in 2016 and finished in 2020.  The flows deposited the sediment behind the dam a few days before we came.  Also sediment deposited in 2020. When the dam failed in 2020 they sent letter to Ministry of Environment but nothing done to remediate the structure. No sediment behind the dam when it was first built.												567.5999999999999																								
7	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/7/attachments/11?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYdLCJ02S20GPZuOsxRjYjcS5UmNShZFgZ3j0Yk4qJmbo_db3uiju6IAqC4p3B9A_gPv93RsucyMzpiHf13QVXsaDgNwNQv7ysTsiBHIv5oUvmoDYRFrYVyu8z2u4Oj7lsmOO5JdHjDN9I-II-GBmnt-fO_GI3CrnHWjaf5v75mJq6Ygbgk6kFtqO5GRGyP-O9skM1JItZetMgW5R8WPkLTnGXD4aUpsXrq633KZeaLGH		7	Water in the wells behind dam less salty than downstream according to the Sub-Director of the Ministry of Agriculture. Since dam built water became less salty downstream, anacdotaly.								1																						d222f05d-8bea-4114-b210-3666c7d64811	1698915625000	GWPConsultants	1711640580791	GWPConsultants	Ali Sabieh	Dasbyo
9	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/9/attachments/16?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYdLCJ02S20GPZuOsxRjYjcS5UmNShZFgZ3j0Yk4qJmbo_db3uiju6IAqC4p3B9A_gPv93RsucyMzpiHf13QVXsaDgNwNQv7ysTsiBHIv5oUvmoDYRFrYVyu8z2u4Oj7lsmOO5JdHjDN9I-II-GBmnt-fO_GI3CrnHWjaf5v75mJq6Ygbgk6kFtqO5GRGyP-O9skM1JItZetMgW5R8WPkLTnGXD4aUpsXrq633KZeaLGH	Well	9	Borehole.  Meant to give water to Dasbyo but did not work. Instead they drilled another downstream and piped it.  80-90m deep. Normally they go no deeper than 60m as the salinity gets too high (3000us/cm). The garden on the other side of the wadi has its own well. 					8		Well	2	Samsung SM-T220	11.249659999999997	42.830133333333336	537.4000000000001	3.055	3.7600000000000002	1698917448000	1			14	1.0299999713897705	0.5899999737739563	0.800000011920929	1.62	1.9112639999834882	29.694807492142388					45f01ae8-6732-4bea-aca6-1ff0146c57bc	1698917481000	GWPConsultants	1711640582108	GWPConsultants	Ali Sabieh	Dasbyo
10	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/10/attachments/17?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYdLCJ02S20GPZuOsxRjYjcS5UmNShZFgZ3j0Yk4qJmbo_db3uiju6IAqC4p3B9A_gPv93RsucyMzpiHf13QVXsaDgNwNQv7ysTsiBHIv5oUvmoDYRFrYVyu8z2u4Oj7lsmOO5JdHjDN9I-II-GBmnt-fO_GI3CrnHWjaf5v75mJq6Ygbgk6kFtqO5GRGyP-O9skM1JItZetMgW5R8WPkLTnGXD4aUpsXrq633KZeaLGH		10	10 or 12 water distribution points like this in Dasbyo. BH pumps to reservoir on the hill which supplies the water points. They fill the reservoir once a week (Sat. or Fri.).  Somebody has to go to the pump to start them (7-10km away).  Opened once a week and have water for 7 days. Last opened on Saturday. When the water is turned on the residents take the water to their houses and the reservoir is empty by midweek. The water in the reservoir is salty. When woman drink the water their skin gets sores and they can lose their babies. 200 households (8-15 people per household) in villages.  Pipes used to reduce walking distance.  Sometimes the pump battery fails and the reservoir is broken for a month.  								2	Samsung SM-T220	11.252418333333333	42.79961166666667	534	3.055	3.5250000000000004	1698919545000	1			15	1	0.6100000143051147	0.75	175.51	0.5981959999948321	190.16908115568214					d5e3eeb0-7652-4e4f-bbd8-6c841bbc5f9a	1698919555000	GWPConsultants	1711640582470	GWPConsultants	Ali Sabieh	Dasbyo
26	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/26/attachments/43?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYdLCJ02S20GPZuOsxRjYjcS5UmNShZFgZ3j0Yk4qJmbo_db3uiju6IAqC4p3B9A_gPv93RsucyMzpiHf13QVXsaDgNwNQv7ysTsiBHIv5oUvmoDYRFrYVyu8z2u4Oj7lsmOO5JdHjDN9I-II-GBmnt-fO_GI3CrnHWjaf5v75mJq6Ygbgk6kFtqO5GRGyP-O9skM1JItZetMgW5R8WPkLTnGXD4aUpsXrq633KZeaLGH	Other	26	Dam.  Damaged by wadi flows.							Other	2	Samsung SM-T220	11.25302	42.79387833333333	551.5999999999999	2.256	2.773	1698927468000	1			28	0.7599999904632568	0.47999998927116394	0.5899999737739563	52.88	1.739027999984976	49.03005191916753					376f203b-eae9-45d8-8390-c47cb90e7cc3	1698927800000	GWPConsultants	1711640589008	GWPConsultants	Ali Sabieh	Dasbyo
29	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/29/attachments/57?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYdLCJ02S20GPZuOsxRjYjcS5UmNShZFgZ3j0Yk4qJmbo_db3uiju6IAqC4p3B9A_gPv93RsucyMzpiHf13QVXsaDgNwNQv7ysTsiBHIv5oUvmoDYRFrYVyu8z2u4Oj7lsmOO5JdHjDN9I-II-GBmnt-fO_GI3CrnHWjaf5v75mJq6Ygbgk6kFtqO5GRGyP-O9skM1JItZetMgW5R8WPkLTnGXD4aUpsXrq633KZeaLGH	Tank/Reservoir	29	Pumping house. Reservoir is 4x4x2m.  Water pumped to the reservoir.  Pump two of these reservoirs to the upper reservoir. e.g. half fill upper reservoir.  Borehole pump is 4kw. Surface pump is 4kw.  Sub-Director from the Ministry of Agriculture in Ali sabieh is responsible for maintainanace. Yield of 10m3/h. Yield does not decrease in the summer.  Pumped since 1991.  Grenfos mk ii pump.	3953	15		27.049999237060547			Tank/Reservoir	1																						aaf4c09b-0aee-4c93-8676-be41097ba643	1698932288000	GWPConsultants	1711640589894	GWPConsultants	Ali Sabieh	Dasbyo
34	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/34/attachments/73?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYdLCJ02S20GPZuOsxRjYjcS5UmNShZFgZ3j0Yk4qJmbo_db3uiju6IAqC4p3B9A_gPv93RsucyMzpiHf13QVXsaDgNwNQv7ysTsiBHIv5oUvmoDYRFrYVyu8z2u4Oj7lsmOO5JdHjDN9I-II-GBmnt-fO_GI3CrnHWjaf5v75mJq6Ygbgk6kFtqO5GRGyP-O9skM1JItZetMgW5R8WPkLTnGXD4aUpsXrq633KZeaLGH,https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/34/attachments/74?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYdLCJ02S20GPZuOsxRjYjcS5UmNShZFgZ3j0Yk4qJmbo_db3uiju6IAqC4p3B9A_gPv93RsucyMzpiHf13QVXsaDgNwNQv7ysTsiBHIv5oUvmoDYRFrYVyu8z2u4Oj7lsmOO5JdHjDN9I-II-GBmnt-fO_GI3CrnHWjaf5v75mJq6Ygbgk6kFtqO5GRGyP-O9skM1JItZetMgW5R8WPkLTnGXD4aUpsXrq633KZeaLGH	Well	34	Shallow well. 2.92m deep. 4791us/cm. 28.7 degrees. wl 2.22mbtc	4791		2.2200000286102295	2.700000047683716	2.9200000762939453		Well	2	Samsung SM-T220	11.285906666666666	42.92078333333333	422.29999999999995	2.491	3.1490000000000005	1698991722000	1			24	0.8500000238418579	0.5199999809265137	0.6700000166893005	244.39	0.251871999997824	153.17984655355394					2db9a42a-fa3e-4cc3-9b71-f7642ccfa2df	1698992047000	GWPConsultants	1711640591679	GWPConsultants	Ali Sabieh	Holhol / Hindi
37	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/37/attachments/78?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYdLCJ02S20GPZuOsxRjYjcS5UmNShZFgZ3j0Yk4qJmbo_db3uiju6IAqC4p3B9A_gPv93RsucyMzpiHf13QVXsaDgNwNQv7ysTsiBHIv5oUvmoDYRFrYVyu8z2u4Oj7lsmOO5JdHjDN9I-II-GBmnt-fO_GI3CrnHWjaf5v75mJq6Ygbgk6kFtqO5GRGyP-O9skM1JItZetMgW5R8WPkLTnGXD4aUpsXrq633KZeaLGH		37	View of Holhol.  The old train used to be used for bringing water. 1 borehole gives 20% of water.  half of that went to the military base.  this well is located near the refugee camp.  Shallow Wells unproductive after drought.  Study to create BH for new train construction.  outcome of this was BHs in hindi.								2	Samsung SM-T220	11.307201666666668	42.93446	418.2	2.303	3.196	1699001277000	1			23	0.8399999737739563	0.47999998927116394	0.6800000071525574	263.69	1.4130759999877922	278.0292468648978					68ef8245-dc53-4e05-98ce-83abe2463db7	1699001358000	GWPConsultants	1711640592919	GWPConsultants	Ali Sabieh	Holhol / Hindi
